JELENIA GÓRA,2017,1,2,-2.6,1.5,2017-1-2
JELENIA GÓRA,2017,1,3,-0.1,1.7,2017-1-3
JELENIA GÓRA,2017,1,4,0.9,4.2,2017-1-4
JELENIA GÓRA,2017,1,5,-4.7,0.2,2017-1-5
JELENIA GÓRA,2017,1,6,-9.2,0.5,2017-1-6
JELENIA GÓRA,2017,1,7,-14.5,2.0,2017-1-7
JELENIA GÓRA,2017,1,8,-6.5,0.1,2017-1-8
JELENIA GÓRA,2017,1,9,-3.8,0.1,2017-1-9
JELENIA GÓRA,2017,1,10,-9.2,0.0,2017-1-10
JELENIA GÓRA,2017,1,11,-6.3,0.1,2017-1-11
JELENIA GÓRA,2017,1,12,2.4,0.1,2017-1-12
JELENIA GÓRA,2017,1,13,2.3,3.2,2017-1-13
JELENIA GÓRA,2017,1,14,-2.5,2.5,2017-1-14
JELENIA GÓRA,2017,1,15,-0.9,6.0,2017-1-15
JELENIA GÓRA,2017,1,16,-2.3,2.9,2017-1-16
JELENIA GÓRA,2017,1,17,-5.6,0.6,2017-1-17
JELENIA GÓRA,2017,1,18,-9.0,0.0,2017-1-18
JELENIA GÓRA,2017,1,19,-13.7,0.0,2017-1-19
JELENIA GÓRA,2017,1,20,-2.9,0.0,2017-1-20
JELENIA GÓRA,2017,1,21,-6.9,0.0,2017-1-21
JELENIA GÓRA,2017,1,22,-8.3,0.0,2017-1-22
JELENIA GÓRA,2017,1,23,-7.5,0.0,2017-1-23
JELENIA GÓRA,2017,1,24,-6.2,0.3,2017-1-24
JELENIA GÓRA,2017,1,25,-2.8,0.0,2017-1-25
JELENIA GÓRA,2017,1,26,-3.3,0.0,2017-1-26
JELENIA GÓRA,2017,1,27,-8.4,0.0,2017-1-27
JELENIA GÓRA,2017,1,28,-11.1,0.0,2017-1-28
JELENIA GÓRA,2017,1,29,-8.7,0.0,2017-1-29
JELENIA GÓRA,2017,1,30,-5.8,0.1,2017-1-30
JELENIA GÓRA,2017,1,31,-3.4,2.7,2017-1-31
JELENIA GÓRA,2017,2,1,-4.5,0.0,2017-2-1
JELENIA GÓRA,2017,2,2,-5.7,9.5,2017-2-2
JELENIA GÓRA,2017,2,3,0.5,0.5,2017-2-3
JELENIA GÓRA,2017,2,4,2.4,2.9,2017-2-4
JELENIA GÓRA,2017,2,5,1.6,0.2,2017-2-5
JELENIA GÓRA,2017,2,6,-1.2,0.1,2017-2-6
JELENIA GÓRA,2017,2,7,-3.0,0.1,2017-2-7
JELENIA GÓRA,2017,2,8,-6.2,0.0,2017-2-8
JELENIA GÓRA,2017,2,9,-6.4,0.0,2017-2-9
JELENIA GÓRA,2017,2,10,-2.8,0.0,2017-2-10
JELENIA GÓRA,2017,2,11,1.1,0.0,2017-2-11
JELENIA GÓRA,2017,2,12,-0.6,0.0,2017-2-12
JELENIA GÓRA,2017,2,13,-4.2,0.0,2017-2-13
JELENIA GÓRA,2017,2,14,-4.0,0.0,2017-2-14
